k (a.u.),probability_upper_transmission,v_init (A/fs)
0,0,0.000000
5.699108329,0.001154114,0.062340
7.952001518,0.001604692,0.086983
8.189148169,0.001652122,0.089577
8.385189401,0.01169133,0.091721
8.662492886,0.007746791,0.094755
8.860115095,0.007786315,0.096916
8.978688421,0.00781003,0.098213
8.92493518,0.097799279,0.097625
9.042243724,0.105822741,0.098909
9.157655094,0.125845823,0.100171
9.275279833,0.131869348,0.101458
9.47163726,0.139908619,0.103606
9.707202934,0.149955733,0.106182
9.942768608,0.160002846,0.108759
10.25769936,0.168065832,0.112204
10.45437298,0.174105167,0.114355
10.61215456,0.176136723,0.116081
11.04439385,0.192223171,0.120809
11.43710871,0.208301714,0.125105
11.79219629,0.212372731,0.128989
12.18617593,0.220451527,0.133298
12.9320812,0.252600708,0.141458
14.42357554,0.318899007,0.157772
16.03554038,0.3732214,0.175405
19.53044963,0.517920382,0.213634
22.60070828,0.598534434,0.247218
25.23936002,0.659062164,0.276081
27.64465946,0.695543224,0.302391
29.77075824,0.747968444,0.325647
31.86112692,0.776386517,0.348513