  N,     sym,       U_ss,             U_pp,            U_dd,            zeta_s,          zeta_p,          zeta_d,          beta_s,          beta_p,          beta_d,          s_orb_exp_tail,  p_orb_exp_tail,  d_orb_exp_tail,  g_ss,            g_sp,            g_pp,            g_p2,            h_sp,            F0SD,             G2SD,             rho_core,         alpha,           EISOL,            Gaussian1_K,     Gaussian1_L,     Gaussian1_M,     Gaussian2_K,     Gaussian2_L,     Gaussian2_M,     Gaussian3_K,     Gaussian3_L,     Gaussian3_M,     Gaussian4_K,     Gaussian4_L,     Gaussian4_M,     z_s,     z_p,     z_d
1,     H,-11.62298,0,0,1.37436,0,0,-8.89352,0,0,0,0,0,16.30813,0,0,0,0,0,0,0,3.36644,0,0.02387,3.34663,1.87533,0,0,0,0,0,0,0,0,0,0,0,0
2,    He,-31.77097,-5.85638,0,3.3132,3.65713,0,-58.90377,-37.03997,0,0,0,0,9.4453,11.20142,9.21455,13.04612,0.29995,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,    Li,-4.70991,-2.72258,0,0.98104,2.95344,0,-2.28395,-7.53557,0,0,0,0,11.03591,19.99865,11.54365,9.05904,1.64189,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,    Be,-16.36031,-16.33922,0,1.21254,1.27649,0,-3.19955,-4.45192,0,0,0,0,7.5528,10.20315,12.86215,13.60286,1.50145,0,0,0,1.59354,0,0.16418,1.70483,1.78559,0,0,0,0,0,0,0,0,0,0,0,0
5,     B,-25.96768,-19.11586,0,1.63417,1.4792,0,-4.95971,-4.65675,0,0,0,0,8.17934,7.29402,7.82939,6.40107,1.25284,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,     C,-51.34889,-39.57463,0,2.00548,1.674,0,-14.63901,-8.05239,0,0,0,0,12.02007,10.97296,11.06753,9.34285,1.17133,0,0,0,2.71789,0,0.03606,2.22002,1.46823,0,0,0,0,0,0,0,0,0,0,0,0
7,     N,-59.12057,-49.05892,0,2.4238,1.99431,0,-18.50638,-15.66695,0,0,0,0,13.26896,8.94313,13.42475,9.85831,1.38006,0,0,0,2.8406,0,-0.01063,0.97071,1.49736,0,0,0,0,0,0,0,0,0,0,0,0
8,     O,-90.44897,-71.02386,0,5.37131,2.29856,0,-66.54376,-21.96269,0,0,0,0,10.06149,15.68373,13.16095,10.63518,5.78622,0,0,0,3.22714,0,-0.01385,3.04082,2.01692,0,0,0,0,0,0,0,0,0,0,0,0
9,     F,-140.22563,-98.77804,0,6.04385,2.90672,0,-69.92259,-30.44816,0,0,0,0,12.44682,18.49608,8.41737,12.17982,2.60438,0,0,0,3.35892,0,-0.01079,6.00465,1.84772,0,0,0,0,0,0,0,0,0,0,0,0
10,    Ne,-2.97873,-85.44112,0,6.00015,3.83453,0,-69.79348,-33.26196,0,0,0,0,19.99957,16.89695,8.96356,16.0278,1.77928,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,    Na,-4.53715,-2.43302,0,0.68633,0.95007,0,0.24485,0.492,0,0,0,0,4.05997,7.06118,9.28354,17.03498,0.64072,0,0,0,1.2,0,-1.02604,2.01451,1.2712,0,0,0,0,0,0,0,0,0,0,0,0
12,    Mg,-14.57423,-7.58385,0,1.31083,1.3889,0,-9.60493,3.41691,0,0,0,0,7.11533,3.25302,4.73731,8.42849,0.87738,0,0,0,1.32915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,    Al,-24.54678,-20.10443,0,2.36426,1.7491,0,-18.37523,-9.3827,0,4.74234,4.66963,7.13114,6.65215,7.45944,7.66886,6.6733,0.43506,0,0,0,1.5217,0,1.00222,1.5174,0.6591,0,0,0,0,0,0,0,0,0,4.742341,4.669626,7.131138
14,    Si,-27.35806,-20.49058,0,1.75274,1.19841,0,-8.68691,-1.85648,0,8.38811,1.84305,0.7086,5.1948,5.09053,5.18515,4.76978,1.42501,0,0,0,2.13581,0,0.20857,6.00048,1.18525,0,0,0,0,0,0,0,0,0,8.388111,1.843048,0.7086
15,     P,-48.72991,-40.35469,0,2.15803,1.80534,0,-14.58378,-11.74473,0,6.04271,2.37647,7.14775,8.75886,8.48368,8.66275,7.73426,0.87168,0,0,0,1.94053,0,-0.03432,6.00139,2.29674,0,0,0,0,0,0,0,0,0,6.042706,2.376473,7.14775
16,     S,-47.53071,-39.19105,0,2.19284,1.84108,0,-13.82744,-7.66461,0,0.47972,1.01551,4.31747,9.17035,5.9443,8.16547,7.30188,5.0054,0,0,0,2.26971,0,-0.036928,1.795067,2.082618,0,0,0,0,0,0,0,0,0,0.479722,1.015507,4.31747
17,    Cl,-61.38993,-54.4828,0,2.63705,2.11815,0,-2.36799,-13.80214,0,0.9563,2.46407,6.41033,11.14265,7.48788,9.55189,8.12844,5.00427,0,0,0,2.5173,0,-0.01321,3.68702,2.54463,0,0,0,0,0,0,0,0,0,0.956297,2.464067,6.410325
18,    Ar,-7.79793,-83.21149,0,6.00027,5.94917,0,-8.83984,-28.4273,0,0,0,0,17.85878,4.16845,11.8525,15.66954,4.57455,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,     K,-3.80111,-3.33966,0,6.00048,1.1275,0,-8.7552,-1.78806,0,0,0,0,3.36925,6.12935,0.9995,18.99915,0.30033,0,0,0,1.2,0,0.15752,6.00057,2.04754,0,0,0,0,0,0,0,0,0,0,0,0
20,    Ca,-10.77006,-9.75418,0,1.52826,2.06009,0,-4.34388,-1.29661,0,0,0,0,5.72577,4.78106,7.1721,7.43188,1.24057,0,0,0,1.3,0,-0.02527,0.50002,2.32905,0,0,0,0,0,0,0,0,0,0,0,0
21,    Sc,-15.54446,-18.64629,-16.06944,1.40247,1.3452,1.85901,-8.62094,3.07595,-9.76866,0.84842,2.45173,0.78937,4.63821,5.73916,14.60487,12.8026,0.19384,4.79831,5.38014,3.17373,1.3,-33.99955,0,0,0,0,0,0,0,0,0,0,0,0,0.848418,2.451729,0.789372
22,    Ti,-25.50797,-17.26091,-23.80949,5.32478,1.16407,1.41828,3.38914,-3.35535,-1.84283,1.0459,1.07684,0.71795,5.71785,5.80002,6.41473,5.62313,1.40373,6.56056,3.39623,0,1.3,-63.46031,0,0,0,0,0,0,0,0,0,0,0,0,1.045904,1.076844,0.717945
23,     V,-32.16228,-21.5725,-34.50624,1.97433,1.06311,1.39481,-1.21133,0.74075,3.15367,1.09443,0.75538,1.09937,5.98312,4.73677,4.49976,3.94448,0.90111,6.81002,1.83141,0,1.3,-100.61396,0,0,0,0,0,0,0,0,0,0,0,0,1.094426,0.755378,1.099367
24,    Cr,-34.86434,-26.97862,-54.43104,3.28346,1.02939,1.62312,-5.12261,3.92671,-4.23055,1.61985,0.84827,1.40501,8.85557,5.58863,5.05309,4.42953,0.64804,6.15014,2.0003,0,1.3,-185.72482,0,0,0,0,0,0,0,0,0,0,0,0,1.619853,0.848266,1.405015
25,    Mn,-51.46,-37.54399,-47.65537,2.13168,1.52588,2.6078,-4.18529,-3.47963,-13.47319,1.13245,1.39074,0.96255,6.19099,6.75743,8.28459,7.26225,1.52052,7.69092,1.10533,0,1.3,-195.80158,0,0,0,0,0,0,0,0,0,0,0,0,1.13245,1.39074,0.96255
26,    Fe,-70.51505,-62.96307,-103.63179,1.47915,6.00225,1.08075,8.02762,-1.12576,-3.50753,1.45915,1.39261,2.16191,7.97704,7.78687,8.29576,7.27204,1.88019,9.30016,1.60135,1.27209,1.3,-426.83527,0,0,0,0,0,0,0,0,0,0,0,0,1.459152,1.392614,2.161909
27,    Co,-21.03941,10,-28.06897,1.16661,3,1.86022,-8.99206,-0.1,-2.48151,0.51952,1,0.35212,2.84015,3.42593,5.95697,5.22186,0.39009,1.44628,1.68023,0,1.3,-167.65661,0,0,0,0,0,0,0,0,0,0,0,0,0.519518,1,0.352115
28,    Ni,-47.62025,-32.87841,-93.02639,1.59183,2.30474,2.51476,-9.15152,-8.0867,-8.65591,0.74647,0.75333,1.46134,4.08088,4.09945,4.48754,3.93377,0.9935,4.65166,1.8805,1.58698,1.3,-485.16556,0,0,0,0,0,0,0,0,0,0,0,0,0.74647,0.753327,1.461345
29,    Cu,-92.00221,-1,-110.44259,1.6691,3,2.73499,-9.36951,-0.1,-16.98209,1.8996,3,1.48432,10.38491,12.14536,17.87091,15.66559,2.03739,9.84881,9.84758,0,1.3,-656.59528,0,0,0,0,0,0,0,0,0,0,0,0,1.899598,3,1.484317
30,    Zn,-18.04086,-7.8349,0,1.51287,1.78948,0,-13.27658,1.47964,0,0,0,0,8.70742,3.43612,20.00004,6.78278,0.66204,0,0,0,1.35013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,    Ga,-30.60023,-21.03242,0,2.33907,1.72959,0,-10.80832,-4.1855,0,0,0,0,10.35488,7.99367,6.09018,6.29923,1.29597,0,0,0,1.60512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,    Ge,-32.74734,-24.70902,0,2.54607,1.70913,0,-14.8543,-2.59126,0,0,0,0,7.5183,6.59444,6.0668,5.30595,0.29074,0,0,0,1.97234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,    As,-37.95696,-38.4537,-30.28266,2.92617,1.76519,1.39214,-11.96373,-7.34007,3.753,2.00654,3.31683,4.65344,6.66503,6.21387,9.31084,8.72154,0.28066,0,0,0,1.79448,0,0,0,0,0,0,0,0,0,0,0,0,0,2.006543,3.316832,4.65344
34,    Se,-32.67109,-32.52222,0,2.51237,2.00758,0,2.636,-9.5577,0,0,0,0,5.52236,2.90756,8.04239,6.73511,3.09579,0,0,0,3.04396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,    Br,-45.83436,-50.29368,7.08674,4.67068,2.03563,1.52103,-32.13166,-9.51448,-9.83912,3.09478,3.06576,2.82,7.61679,5.01042,9.64922,8.34379,4.99655,0,0,0,2.51184,0,-0.005,6.00129,2.89515,0,0,0,0,0,0,0,0,0,3.094777,3.065764,2.820003
36,    Kr,8.53538,-80.48432,0,1.31225,4.49137,0,-2.72709,-16.14295,0,0,0,0,19.99986,1.1753,9.17478,14.92695,0.29987,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,    Rb,-3.63651,-2.50067,0,5.51014,1.33517,0,9.99874,1.343,0,0,0,0,6.68082,20.0011,5.06887,2.74786,3.60283,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,    Sr,-10.42767,-9.94375,0,2.1973,1.73014,0,-6.25311,-9.8445,0,0,0,0,4.60366,5.71607,7.33462,7.44309,0.83153,0,0,0,1.3,0,-0.01295,6.00013,3.01196,0,0,0,0,0,0,0,0,0,0,0,0
39,     Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902611,1.4844,1.384238
40,    Zr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.189109,0.809092,1.190249
41,    Nb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.490754,0.89276,1.443837
42,    Mo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912995,1.355055,1.876231
43,    Tc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.411033,1.141313,1.159312
44,    Ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984449,4.586613,0.765332
45,    Rh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809923,6.898259,0.643134
46,    Pd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.794085,6.158778,1.630913
47,    Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695514,4.729949,0.506522
48,    Cd,-14.64579,-9.31866,0,1.38411,1.95741,0,-11.61318,1.66318,0,0,0,0,6.67728,5.95337,18.72984,9.91745,0.82519,0,0,0,1.52538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,    In,-28.33925,-23.37388,0,2.02309,2.10662,0,-1.98238,-3.33029,0,0,0,0,9.90609,10.52006,4.82601,7.90656,3.5003,0,0,0,1.41839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,    Sn,-29.88822,-22.15695,0,2.38394,2.05791,0,-8.62109,-4.98975,0,0,0,0,8.26966,5.01335,6.58487,5.85516,0.53121,0,0,0,1.69965,0,-1.00459,4.70625,1.18022,0,0,0,0,0,0,0,0,0,0,0,0
51,    Sb,-41.68888,-39.54118,-6.58166,2.39118,1.77301,2.46559,-7.47232,-5.94075,-3.97911,5.99359,6.14509,5.70403,10.58883,7.31002,9.28161,8.95408,0.77911,0,0,0,2.0343,0,0,0,0,0,0,0,0,0,0,0,0,0,5.993591,6.145086,5.704031
52,    Te,-114.73332,-50.09639,0,2.76986,1.73132,0,-70.00106,-6.15164,0,0,0,0,7.03063,12.60139,7.88348,6.97316,5.00083,0,0,0,2.48502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,     I,-59.97323,-56.45983,-28.8226,4.49865,1.91707,1.87518,-30.52248,-5.94212,-7.67611,9.13524,6.88819,3.79152,7.23476,9.15441,9.87747,8.03592,5.00422,0,0,0,1.99019,0,-0.03552,1.74439,1.22384,0,0,0,0,0,0,0,0,0,9.135244,6.888191,3.791523
54,    Xe,-18.27023,-167.16306,0,2.75979,1.97745,0,-3.98062,-38.82279,0,0,0,0,20.00025,4.1759,2.30579,4.06322,4.41884,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,    Cs,-3.74861,-2.34811,0,5.95601,1.61949,0,2.28784,-5.90807,0,0,0,0,6.46475,4.0045,13.77539,12.91254,1.02693,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,    Ba,-9.30698,-8.82671,0,1.39538,1.43014,0,10.00313,-6.33516,0,0,0,0,3.60082,4.74058,3.34517,3.14278,0.92943,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,    La,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.617784,4.33162,2.285738
58,    Ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,    Pr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,    Nd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,    Pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,    Sm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,    Eu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,    Gd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,    Tb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,    Dy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,    Ho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,    Er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,    Tm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,    Yb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,    Lu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.632335,4.033128,0.921999
72,    Hf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946927,3.538911,0.940283
73,    Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.741367,3.430157,2.311198
74,     W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49886,1.9659,1.87645
75,    Re,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         0.000000        1.680823,1.331218,1.490623,
76,    Os,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8447,1.56422,1.77001
77,    Ir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927246,3.191892,0.662007
78,    Pt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.270699,1.949896,1.713856
79,    Au,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44468,7.01499,1.777089
80,    Hg,-17.60873,-18.36942,0,2.1049,1.51629,0,-3.04524,-5.69356,0,0,0,0,6.37282,10.14318,10.39739,14.79406,0.92613,0,0,0,1.52938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,    Tl,-29.51862,-29.82691,0,3.33588,1.76614,0,-7.23017,-7.57554,0,0,0,0,5.01512,13.93205,10.49555,10.5262,0.29376,0,0,0,1.34095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,    Pb,-35.03815,-25.4134,0,2.3689,1.68525,0,-8.32379,-2.23789,0,0,0,0,5.25413,7.06102,6.81855,5.60302,1.01882,0,0,0,1.62004,0,-0.23946,5.44434,1.61368,0,0,0,0,0,0,0,0,0,0,0,0
83,    Bi,-42.40918,-36.39375,0,3.70238,1.87233,0,-34.95158,-7.35906,0,0,0,0,5.8518,6.79058,8.38944,7.72422,0.29561,0,0,0,1.85743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,    Po,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,    At,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,    Rn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,    Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12875,5.09628,1.53747,-1.06033,6.00379,1.57019,0,0,0,0,0,0,0,0,0
88,    Ra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,    Ac,-13.51485,0,0,0.96781,0,0,-4.01179,0,0,0,0,0,14.79421,0,0,0,0,0,1.17501,0,2.7532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,    Th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93844,0,0,0,1.63157,2.67296,1.79169,-2.11096,1.96859,1.75587,0,0,0,0,0,0,0,0,0
91,    Pa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,     U,0,0,0,0.87744,1.50876,0,0,0,0,0,0,0,9.01285,6.5762,6.05718,9.00522,0.54468,0,0,0,0,0,0.05011,6.00317,1.64221,0.05073,6.00298,0.89249,0,0,0,0,0,0,0,0,0
93,    Np,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50167,5.90115,1.71074,-1.50577,6.00466,1.71615,0,0,0,0,0,0,0,0,0
94,    Pu,0,0,0,1.56509,1.84234,0,0,0,0,0,0,0,11.20071,10.26503,10.79629,9.04257,2.29098,0,0,0,0,0,-1.13113,6.00248,1.60731,1.13789,5.95051,1.5984,0,0,0,0,0,0,0,0,0
95,    Am,0,0,0,2.02809,2.31373,0,0,0,0,0,0,0,11.90479,7.34856,11.75467,10.80728,1.13671,0,0,0,0,0,-0.01217,6.02357,1.85686,-0.00285,6.00372,2.63616,0,0,0,0,0,0,0,0,0
96,    Cm,-90.93807,-76.9322,0,3.79654,2.3894,0,-44.44958,-35.34387,0,0,0,0,15.75576,10.62116,13.65402,12.4061,0.59388,0,0,0,3.03187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,    Bk,0,0,0,4.70855,2.49118,0,0,0,0,0,0,0,10.49667,16.07369,14.81726,14.41839,0.72776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,    Cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11705,6.00948,2.08441,-2.54777,4.39537,2.06367,0,0,0,0,0,0,0,0,0
99,    Es,0,0,0,0,0,0,0,0,0,0.65411,0.56441,0,0,0,0,0,0,0,0,1.53055,0,0,-0.47309,1.91582,1.45173,-0.15405,6.00509,2.52,0,0,0,0,0,0,0,0,0
100,    Fm,0,0,0,0.69855,1.48345,0,0,0,0,1.05,0.92527,0,6.6943,6.79399,6.91045,7.09082,0.5433,0,0,1.35078,0,0,-0.3906,6.00005,0.63226,0.05726,6.00718,2.01999,0,0,0,0,0,0,0,0,0
101,    Md,0,0,0,1.70289,1.07363,0,0,0,0,0,0,0,5.77674,11.65986,6.34779,6.12108,4.00624,0,0,0,0,7.13114,-0.61142,1.99727,0.79462,-0.09394,1.99836,1.91068,0,0,0,0,0,0,0,0,0
102,    No,0,0,-14.67744,1.63508,1.31309,0.96677,0,0,-2.60801,1.52929,0.97628,0.93816,5.0472,5.94906,6.75937,5.1613,0.91983,0,0,0,0,0.7086,-0.39919,6.00067,0.96212,-0.0549,6.00185,1.57994,0,0,0,0,0,0,0,0,0
103,    Lr,0,0,-23.6916,2.01756,1.50473,1.10011,0,0,-2.0917,1.63438,1.08291,1.00651,7.80161,5.18695,6.61848,6.062,1.54281,0,0,0,0,7.14775,-0.17159,6.0008,1.0875,-0.01346,1.96662,2.29289,0,0,0,0,0,0,0,0,0
104,    Rf,0,0,-25.09512,1.89118,1.65897,1.23147,0,0,-1.88067,1.73639,1.12118,1.05085,8.96467,6.78594,9.96816,7.97025,4.04184,0,0,0,0,4.31747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,    Db,0,0,-36.67457,2.24621,2.15101,1.2514,0,0,-1.87778,1.88088,1.18104,1.14062,16.0136,8.04811,7.52222,7.50415,3.48115,0,0,0,0,6.41033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,    Sg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,    Bh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
